Label,Total Time,Avg Time
Setup,7.683788299560547,7.683788299560547
Send Data,22.7500057220459,0.02340535568111718
Recv Data,22.13565707206726,0.022773309744925165
Process Data,45.95623588562012,0.04728007807162563
SignsDetect,31.980815649032593,0.13160829485198597
TrafficLightDetect,33.73269987106323,0.13881769494264704
PedestrianDetect,33.23095774650574,0.13675291253706065
HeadingErrorFilter,30.732094049453735,0.12646952283725818
Filters in Parallel,44.91794443130493,0.18484750794775692
Draw onto Frame,1.1706981658935547,0.004817687925487879
Process Frame,47.12890887260437,0.1939461270477546
Display frame,6.226704359054565,0.0256242977738871
Wait User Input,6.341513633728027,0.0260967639248067
Iteration,59.704572439193726,0.24569782896787543
Overall Timer,69.25678968429565,69.25678968429565
Cleanup,2.332386016845703,2.332386016845703
